product_id,segment,category,sub_category,product_name,row_number
FUR-BO-10000362,Consumer,Furniture,Bookcases,Sauder Inglewood Library Bookcases,1
FUR-BO-10000711,Consumer,Furniture,Bookcases,"Hon Metal Bookcases, Gray",1
FUR-BO-10002202,Consumer,Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",1
FUR-BO-10003660,Corporate,Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",1
FUR-CH-10000229,Home Office,Furniture,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,1
FUR-CH-10000454,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1
FUR-CH-10000749,Consumer,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,1
FUR-CH-10002084,Consumer,Furniture,Chairs,Hon Mobius Operator's Chair,1
FUR-CH-10003761,Consumer,Furniture,Chairs,Global Italian Leather Office Chair,1
FUR-CH-10004287,Home Office,Furniture,Chairs,SAFCO Arco Folding Chair,1
FUR-FU-10001706,Consumer,Furniture,Furnishings,Longer-Life Soft White Bulbs,1
FUR-FU-10001967,Consumer,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,1
FUR-FU-10002456,Consumer,Furniture,Furnishings,"Master Caster Door Stop, Large Neon Orange",1
FUR-FU-10002685,Consumer,Furniture,Furnishings,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",1
FUR-FU-10003095,Consumer,Furniture,Furnishings,"Linden 12"" Wall Clock With Oak Frame",1
FUR-FU-10003268,Home Office,Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,1
FUR-FU-10003274,Consumer,Furniture,Furnishings,Regeneration Desk Collection,1
FUR-FU-10004351,Consumer,Furniture,Furnishings,Staple-based wall hangings,1
FUR-FU-10004597,Home Office,Furniture,Furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets,1
FUR-TA-10000198,Home Office,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1
FUR-TA-10002228,Consumer,Furniture,Tables,"Bevis Traditional Conference Table Top, Plinth Base",1
FUR-TA-10002774,Consumer,Furniture,Tables,Laminate Occasional Tables,1
OFF-AP-10001124,Corporate,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,1
OFF-AP-10001205,Consumer,Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,1
OFF-AP-10001634,Consumer,Office Supplies,Appliances,Hoover Commercial Lightweight Upright Vacuum,1
OFF-AP-10002518,Corporate,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,1
OFF-AR-10000937,Home Office,Office Supplies,Art,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",1
OFF-AR-10001221,Consumer,Office Supplies,Art,"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",1
OFF-AR-10001860,Consumer,Office Supplies,Art,BIC Liqua Brite Liner,1
OFF-AR-10001988,Corporate,Office Supplies,Art,Bulldog Table or Wall-Mount Pencil Sharpener,1
OFF-AR-10002221,Home Office,Office Supplies,Art,12 Colored Short Pencils,1
OFF-AR-10002375,Consumer,Office Supplies,Art,Newell 351,1
OFF-AR-10002467,Corporate,Office Supplies,Art,Dixon Ticonderoga Pencils,1
OFF-AR-10002804,Corporate,Office Supplies,Art,Faber Castell Col-Erase Pencils,1
OFF-AR-10003045,Home Office,Office Supplies,Art,Prang Colored Pencils,1
OFF-AR-10003504,Corporate,Office Supplies,Art,Newell 347,1
OFF-AR-10003723,Consumer,Office Supplies,Art,Avery Hi-Liter Fluorescent Desk Style Markers,1
OFF-AR-10004587,Home Office,Office Supplies,Art,"Boston 1827 Commercial Additional Cutter, Drive Gear & Gear Rack for 1606",1
OFF-BI-10000301,Corporate,Office Supplies,Binders,GBC Instant Report Kit,1
OFF-BI-10000962,Consumer,Office Supplies,Binders,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",1
OFF-BI-10001120,Corporate,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,1
OFF-BI-10001759,Consumer,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",1
OFF-BI-10002103,Corporate,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",1
OFF-BI-10002215,Corporate,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",1
OFF-BI-10002432,Corporate,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,1
OFF-BI-10002557,Corporate,Office Supplies,Binders,Presstex Flexible Ring Binders,1
